Table S3. Acknowledgement of GISAID sequences used in the design of SCV2 PepSeq Library.

Virus Name	Accession No.	Collected	Originating laboratory	Submitting laboratory	Authors
England/SHEF-BFD45/2020	EPI_ISL_416739	3/9/20	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva et al
England/SHEF-BFD54/2020	EPI_ISL_416740	3/3/20	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva et al
Lithuania/ChVir1632/2020	EPI_ISL_416741	2020-02	National Public Health Surveillance Laboratory, Vilnius, Lithuania	Charite Universitaetsmedizin Berlin, Institute of Virology	Victor M Corman et al
CzechRepublic/ChVir1630/2020	EPI_ISL_416742	2/29/20	NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic	Charite Universitaetsmedizin Berlin, Institute of Virology	Victor M Corman et al
CzechRepublic/ChVir1912/2020	EPI_ISL_416743	3/5/20	NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic	Charite Universitaetsmedizin Berlin, Institute of Virology	Victor M Corman et al
Hungary/mbl49/2020	EPI_ISL_416744	3/20/20	Virological Research Group, Szentágothai Research Centre	Bioinformatics Research Group, Szentágothai Research Centre	Péter Urbán et al
France/Pollionay_1733/2020	EPI_ISL_416745	3/10/20	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Valence_425/2020	EPI_ISL_416746	3/3/20	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_487/2020	EPI_ISL_416747	3/4/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_508/2020	EPI_ISL_416748	3/4/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Valence_532/2020	EPI_ISL_416749	3/4/20	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_683/2020	EPI_ISL_416750	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Clermont-Ferrand_651/2020	EPI_ISL_416751	3/5/20	CHU Gabriel Montpied	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Clermont-Ferrand_650/2020	EPI_ISL_416752	3/4/20	CHU Gabriel Montpied	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_06464/2020	EPI_ISL_416753	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_06487/2020	EPI_ISL_416754	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_06531/2020	EPI_ISL_416756	3/6/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Bourg-en-Bresse_06678/2020	EPI_ISL_416757	3/7/20	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_0693/2020	EPI_ISL_416758	3/8/20	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
Malaysia/MKAK-CL-2020-5045/2020	EPI_ISL_416829	1/24/20	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al
USA/NY-NYUMC2/2020	EPI_ISL_416830	3/16/20	NYU Langone Health	Department of Pathology and Medicine, New York University School of Medicine	John Chen et al
USA/NY-NYUMC3/2020	EPI_ISL_416831	3/16/20	NYU Langone Health	Department of Pathology and Medicine, New York University School of Medicine	John Chen et al
USA/NY-NYUMC4/2020	EPI_ISL_416832	3/16/20	NYU Langone Health	Department of Pathology and Medicine, New York University School of Medicine	John Chen et al
Malaysia/MKAK-CL-2020-5047/2020	EPI_ISL_416866	1/24/20	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Malaysia/MKAK-CL-2020-5049/2020	EPI_ISL_416884	1/24/20	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Malaysia/MKAK-CL-2020-6430/2020	EPI_ISL_416886	2/4/20	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Malaysia/MKAK-CL-2020-7554/2020	EPI_ISL_416907	2/6/20	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Spain/CastillayLeon201437/2020	EPI_ISL_416994	3/4/20	COMPLEJO ASISTENCIAL UNIVERSITARIO DE BURGOS	Instituto de Salud Carlos III	Iglesias-Caballero et al
Belgium/ULG-2971/2020	EPI_ISL_416997	3/5/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-3000/2020	EPI_ISL_417004	3/5/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-3163/2020	EPI_ISL_417006	3/5/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Spain/Galicia201663/2020	EPI_ISL_417007	3/7/20	HOSPITAL SANTA MARIA NAI	Instituto de Salud Carlos III	Iglesias-Caballero et al
Belgium/ULG-3662/2020	EPI_ISL_417008	3/7/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-3665/2020	EPI_ISL_417009	3/7/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Spain/Madrid201442/2020	EPI_ISL_417010	3/4/20	FUNDACION JIMENEZ DIAZ	Instituto de Salud Carlos III	Iglesias-Caballero et al
Belgium/ULG-3843/2020	EPI_ISL_417012	3/8/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-4163/2020	EPI_ISL_417013	3/9/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6216/2020	EPI_ISL_417014	3/13/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6457/2020	EPI_ISL_417015	3/13/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6503/2020	EPI_ISL_417016	3/13/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6638/2020	EPI_ISL_417017	3/14/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6670/2020	EPI_ISL_417018	3/14/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6754/2020	EPI_ISL_417019	3/14/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6939/2020	EPI_ISL_417020	3/15/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6942/2020	EPI_ISL_417021	3/15/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6948/2020	EPI_ISL_417022	3/15/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
Belgium/ULG-6950/2020	EPI_ISL_417023	3/15/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
hCoV-19/Belgium/ULG-6972/2020	EPI_ISL_417024	3/15/20	Department of Clinical Microbiology 	GIGA Medical Genomics 	Durkin Keith, Artesi Maria, Bontems Sébastien, Boreux Raphaël, Meex Cécile, Melin Pierrette, Hayette Marie-Pierre, Bours Vincent.
Belgium/ULG-7019/2020	EPI_ISL_417025	3/15/20	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
USA/UT-08/2020	EPI_ISL_417026	3/20/20	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin Young et al
USA/UT-020/2020	EPI_ISL_417028	3/20/20	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin Young et al
Australia/NSW04/2020	EPI_ISL_417030	1/24/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al
Australia/QLDID919/2020	EPI_ISL_417031	3/11/20	Pathology Queensland	Public Health Virology Laboratory	Bixing Huang et al
Australia/QLDID920/2020	EPI_ISL_417032	3/11/20	Rockhampton Base Hospital	Public Health Virology Laboratory	Bixing Huang et al
Australia/QLDID921/2020	EPI_ISL_417033	3/11/20	Sullivan Nicolaides Pathology	Public Health Virology Laboratory	Bixing Huang et al
Brazil/AMBR-02/2020	EPI_ISL_417034	3/16/20	Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia	Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia	Valdinete Nascimento et al
HongKong/VB20017970-2/2020	EPI_ISL_417064	1/21/20	Prince of Wales Hospital	Hong Kong Department of Health	Alan K.L. Tsang et al
USA/WA-S12/2020	EPI_ISL_417065	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S13/2020	EPI_ISL_417066	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S15/2020	EPI_ISL_417068	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S16/2020	EPI_ISL_417069	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S17/2020	EPI_ISL_417070	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S18/2020	EPI_ISL_417071	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S19/2020	EPI_ISL_417072	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S20/2020	EPI_ISL_417073	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S21/2020	EPI_ISL_417074	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S22/2020	EPI_ISL_417075	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S23/2020	EPI_ISL_417076	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S24/2020	EPI_ISL_417077	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S26/2020	EPI_ISL_417079	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S28/2020	EPI_ISL_417081	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S29/2020	EPI_ISL_417082	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S32/2020	EPI_ISL_417085	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S33/2020	EPI_ISL_417086	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S34/2020	EPI_ISL_417087	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S35/2020	EPI_ISL_417088	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S36/2020	EPI_ISL_417089	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S38/2020	EPI_ISL_417091	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S39/2020	EPI_ISL_417092	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S40/2020	EPI_ISL_417093	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S42/2020	EPI_ISL_417095	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S43/2020	EPI_ISL_417096	2/27/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S44/2020	EPI_ISL_417097	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S45/2020	EPI_ISL_417098	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S46/2020	EPI_ISL_417099	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S47/2020	EPI_ISL_417100	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S48/2020	EPI_ISL_417101	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S49/2020	EPI_ISL_417102	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S50/2020	EPI_ISL_417103	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S51/2020	EPI_ISL_417104	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S52/2020	EPI_ISL_417105	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S53/2020	EPI_ISL_417106	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S54/2020	EPI_ISL_417107	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S55/2020	EPI_ISL_417108	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S56/2020	EPI_ISL_417109	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S57/2020	EPI_ISL_417110	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S58/2020	EPI_ISL_417111	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S59/2020	EPI_ISL_417112	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S61/2020	EPI_ISL_417114	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S62/2020	EPI_ISL_417115	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S63/2020	EPI_ISL_417116	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S64/2020	EPI_ISL_417117	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S65/2020	EPI_ISL_417118	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S66/2020	EPI_ISL_417119	3/6/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S67/2020	EPI_ISL_417120	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S68/2020	EPI_ISL_417121	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S69/2020	EPI_ISL_417122	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S70/2020	EPI_ISL_417123	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S71/2020	EPI_ISL_417124	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S72/2020	EPI_ISL_417125	3/6/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S73/2020	EPI_ISL_417126	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S74/2020	EPI_ISL_417127	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S75/2020	EPI_ISL_417128	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S76/2020	EPI_ISL_417129	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S77/2020	EPI_ISL_417130	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S79/2020	EPI_ISL_417132	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S80/2020	EPI_ISL_417133	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S81/2020	EPI_ISL_417134	2/26/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S82/2020	EPI_ISL_417135	2/22/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S83/2020	EPI_ISL_417136	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S84/2020	EPI_ISL_417137	2/21/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S86/2020	EPI_ISL_417139	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S87/2020	EPI_ISL_417140	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S88/2020	EPI_ISL_417141	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S89/2020	EPI_ISL_417142	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S90/2020	EPI_ISL_417143	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S91/2020	EPI_ISL_417144	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S92/2020	EPI_ISL_417145	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S93/2020	EPI_ISL_417146	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S94/2020	EPI_ISL_417147	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S95/2020	EPI_ISL_417148	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S96/2020	EPI_ISL_417149	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S97/2020	EPI_ISL_417150	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S98/2020	EPI_ISL_417151	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S99/2020	EPI_ISL_417152	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S100/2020	EPI_ISL_417153	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S101/2020	EPI_ISL_417154	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S102/2020	EPI_ISL_417155	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S103/2020	EPI_ISL_417156	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S104/2020	EPI_ISL_417157	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S105/2020	EPI_ISL_417158	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S106/2020	EPI_ISL_417159	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S107/2020	EPI_ISL_417160	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S108/2020	EPI_ISL_417161	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S109/2020	EPI_ISL_417162	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S110/2020	EPI_ISL_417163	3/5/20	Seattle Flu Study	Seattle Flu Study	Chu etl al et al
USA/WA-S111/2020	EPI_ISL_417164	3/7/20	Seattle Flu Study	Seattle Flu Study	Chu etl al et al
USA/WA-S112/2020	EPI_ISL_417165	3/8/20	Seattle Flu Study	Seattle Flu Study	Chu etl al et al
USA/WA-S114/2020	EPI_ISL_417167	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S115/2020	EPI_ISL_417168	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S116/2020	EPI_ISL_417169	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S117/2020	EPI_ISL_417170	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S118/2020	EPI_ISL_417171	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S119/2020	EPI_ISL_417172	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
USA/WA-S122/2020	EPI_ISL_417175	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
HongKong/HKPU1_2101/2020	EPI_ISL_417176	1/21/20	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
HongKong/HKPU6_2101/2020	EPI_ISL_417178	1/25/20	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
HongKong/HKPU19_0402/2020	EPI_ISL_417181	2/5/20	Department of Pathology, United Christian Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
HongKong/HKPU28_3001/2020	EPI_ISL_417185	2/9/20	Department of Pathology, United Christian Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
SouthAfrica/R03006/2020	EPI_ISL_417186	3/7/20	National Institute for Communicable Diseases of the National Health Laboratory Service	National Institute for Communicable Diseases of the National Health Laboratory Service	Allam M et al
HongKong/HKPU29_0102/2020	EPI_ISL_417187	2/8/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
HongKong/HKPU30_2901/2020	EPI_ISL_417188	2/8/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
USA/MN25-MDH25/2020	EPI_ISL_417192	3/12/20	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb et al
HongKong/HKPU32_0402/2020	EPI_ISL_417193	2/9/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
USA/MN26-MDH26/2020	EPI_ISL_417194	3/12/20	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb et al
USA/MN29-MDH29/2020	EPI_ISL_417196	3/11/20	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb et al
HongKong/HKPU34_3001/2020	EPI_ISL_417197	2/9/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
USA/MN30-MDH30/2020	EPI_ISL_417198	3/12/20	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb et al
USA/WI-UW-06/2020	EPI_ISL_417200	3/21/20	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
USA/WI-UW-07/2020	EPI_ISL_417201	3/21/20	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
USA/WI-UW-08/2020	EPI_ISL_417202	3/21/20	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
USA/WI-UW-09/2020	EPI_ISL_417203	3/21/20	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
USA/WI-UW-10/2020	EPI_ISL_417204	3/21/20	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
England/20102068502/2020	EPI_ISL_417213	3/1/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20102098802/2020	EPI_ISL_417217	3/1/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104003002/2020	EPI_ISL_417222	3/4/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104004902/2020	EPI_ISL_417226	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104007503/2020	EPI_ISL_417227	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104008402/2020	EPI_ISL_417228	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104008702/2020	EPI_ISL_417230	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104008802/2020	EPI_ISL_417231	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104008902/2020	EPI_ISL_417232	3/4/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104009002/2020	EPI_ISL_417233	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104009102/2020	EPI_ISL_417234	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104013703/2020	EPI_ISL_417235	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104015302/2020	EPI_ISL_417236	3/1/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20104035803/2020	EPI_ISL_417238	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20106004803/2020	EPI_ISL_417240	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20106005403/2020	EPI_ISL_417244	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20106145903/2020	EPI_ISL_417246	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
